model_DE,model,study,country,parameter,site,mean.d,SD.d,total.d,mean.c,SD.c,total.c
CD25KO mice,CD25KO mice,De Paiva 2010,Houston,CD45,conjunctiva ,6.36,1.97,20,5.49,1.56,20
CD25KO mice,CD25KO mice,De Paiva 2010,Houston,CD8 T cells,conjunctiva ,3.64,0.99,20,1,0.1,20
CD25KO mice,CD25KO mice,De Paiva 2010,Houston,IL-10,conjunctiva ,1,0.1,20,0.1,0.1,20
CD25KO mice,CD25KO mice,De Paiva 2010,Houston,IL-2,conjunctiva ,0.2,0.2,20,0.1,0.05,20
CD25KO mice,CD25KO mice,De Paiva 2010,Houston,IL-6,conjunctiva ,2.3,0.4,20,0.1,0.001,20
DS mice,DS mice,De Paiva 2011,Houston,CD4 T cells,corneal,3.5,0.5,5,0.2,0.1,5
DS mice,DS mice,De Paiva 2011,Houston,IFN-γ,corneal,5.5,1,5,1,0.1,5
DS mice,DS mice,De Paiva 2011,Houston,IL-13,corneal,3,0.2,5,1,0.1,5
DS mice,DS mice,De Paiva 2011,Houston,IL-17A,corneal,8,0.2,5,1,0.1,5
DS mice,DS mice,De Paiva 2011,Houston,IL-6,corneal,5,1,5,1,0.1,5
C57BL/6 mice,PD Knock-in mice,Dong 2010,New Haven,CCL2,liver,0.6,0.2,3,0.2,0.01,3
C57BL/6 mice,PD Knock-in mice,Dong 2010,New Haven,CXCL2,liver,0.6,0.2,3,0.05,0.03,3
C57BL/6 mice,PD Knock-in mice,Dong 2010,New Haven,INOS,liver,0.5,0.5,3,0.01,0.001,3
C57BL/6 mice,PD Knock-in mice,Dong 2010,New Haven,KC,liver,1.2,0.3,3,0.1,0.05,3
C57BL/6 mice,PD Knock-in mice,Dong 2010,New Haven,TNF-α,liver,0.8,0.4,3,0.2,0.1,3
C57BL/6 mice,SI mice,el annan 2009,Boston,IFN-γ,conjunctiva ,210,20,4,90,10,4
C57BL/6 mice,SI mice,el annan 2009,Boston,IL-4,conjunctiva ,30,5,4,55,5,4
Lewis rats,SI rats,Han 2017,Seoul,TNF-α,,41.59,6.29,4,27.5,5.61,4
Lewis rats,SI rats,Hou 2017,Singapore,CD3 effector memory T cells,,70,5,6,54,3,3
Albino rabbit,BAC_albino,Huang 2018,Taipei,IL-1β,corneal,686.9,4.3,6,443,5.5,6
Albino rabbit,BAC_albino,Huang 2018,Taipei,IL-6,corneal,133.2,9.6,6,34,3.7,6
Albino rabbit,BAC_albino,Huang 2018,Taipei,IL-8,corneal,907.7,116.4,6,626.6,2.5,6
Albino rabbit,BAC_albino,Huang 2018,Taipei,TNF-α,corneal,136.2,24.4,6,8.5,2.8,6
Sprague-Dawley rats,UPM_SD rats,Hyun 2019,Daejeon,IL-6,conjunctiva,3,0.4,3,1,0.1,3
Sprague-Dawley rats,UPM_SD rats,Hyun 2019,Daejeon,TNF-α,conjunctiva,3.4,0.5,3,1,0.1,3
C57BL/6 mice,SI mice,ji 2013,Seoul,IFN-γ,corneal,10,3,3,1,0.1,3
C57BL/6 mice,SI mice,ji 2013,Seoul,IL-21,corneal,25,2,3,3,0.001,3
C57BL/6 mice,SI mice,ji 2013,Seoul,IL-6,corneal,2.5,0.3,3,0.2,0.001,3
wistar rats,LGR_wistar rats,Joossen 2016,Wilrijk,IL-1β,tear fluid,3400,300,5,800,100,5
wistar rats,LGR_wistar rats,Joossen 2016,Wilrijk,TNF-α,tear fluid,3400,300,5,800,150,5
NOD mice,NOD mice ,Ju 2018,Los Angeles,IFN-γ,Lacrimal,6,1,5,1,0.1,5
NOD mice,NOD mice ,Ju 2018,Los Angeles,MHC II,Lacrimal,45,5,5,1,0.1,5
C57BL/6 mice,SI mice,kodati 2014,Boston,CCR1,corneal,1800,500,6,250,10,6
C57BL/6 mice,SI mice,kodati 2014,Boston,CCR2,corneal,2700,500,6,1200,100,6
C57BL/6 mice,SI mice,kodati 2014,Boston,CCR5,corneal,3700,1000,6,1600,200,6
C57BL/6 mice,SI mice,kodati 2014,Boston,CCR7,corneal,2500,500,6,250,10,6
